asset,tenor,structure,-30%,-20%,-10%,-5%,+0%,+5%,+10%,+15%,+20%,+30%,expected P&L,P(loss)
US equity (SPY),12m,Hold the index,-28.7,-18.7,-8.7,-3.7,+1.3,+6.3,+11.3,+16.3,+21.3,+31.3,+8.2,34%
US equity (SPY),12m,Bills (cash),+4.0,+4.0,+4.0,+4.0,+4.0,+4.0,+4.0,+4.0,+4.0,+4.0,+4.0,0%
US equity (SPY),12m,50% index / 50% bills,-12.3,-7.3,-2.3,+0.2,+2.7,+5.2,+7.7,+10.1,+12.7,+17.7,+6.1,25%
US equity (SPY),12m,"Protective put (buy 95 put, cost 3.0)",-6.7,-6.7,-6.7,-6.7,-1.7,+3.3,+8.3,+13.3,+18.3,+28.3,+7.3,41%
US equity (SPY),12m,Zero-cost collar (90 put / 119 call),-8.7,-8.7,-8.7,-3.7,+1.3,+6.3,+11.3,+16.3,+20.0,+20.0,+6.6,34%
US equity (SPY),12m,Put-spread collar (95/85 / 116 call),-18.7,-8.7,-3.7,-3.7,+1.3,+6.3,+11.3,+16.3,+17.0,+17.0,+6.3,34%
US equity (SPY),12m,"Covered call (sell 105 call, credit 5.3)",-23.4,-13.4,-3.4,+1.6,+6.6,+11.6,+11.6,+11.6,+11.6,+11.6,+5.8,22%
US equity (SPY),12m,"Buffered (10% buffer, cap +11%)",-20.0,-10.0,+0.0,+0.0,+0.0,+5.0,+10.0,+11.1,+11.1,+11.1,+4.5,16%
US equity (SPY),12m,"Synthetic PPN (bills + LEAP, 51% participation)",+0.0,+0.0,+0.0,+0.0,+0.0,+2.5,+5.1,+7.6,+10.1,+15.2,+5.4,0%
US equity (SPY),12m,"Bills + reverse iron butterfly (53% part., ±10%)",+5.3,+5.3,+5.3,+2.6,+0.0,+2.6,+5.3,+5.3,+5.3,+5.3,+4.1,0%
US equity (SPY),6m,Hold the index,-29.3,-19.3,-9.3,-4.3,+0.7,+5.7,+10.7,+15.6,+20.7,+30.7,+4.1,38%
US equity (SPY),6m,Bills (cash),+2.0,+2.0,+2.0,+2.0,+2.0,+2.0,+2.0,+2.0,+2.0,+2.0,+2.0,0%
US equity (SPY),6m,50% index / 50% bills,-13.7,-8.7,-3.7,-1.2,+1.3,+3.8,+6.3,+8.8,+11.3,+16.3,+3.0,32%
US equity (SPY),6m,"Protective put (buy 95 put, cost 1.9)",-6.3,-6.3,-6.3,-6.3,-1.3,+3.7,+8.7,+13.7,+18.7,+28.7,+3.6,45%
US equity (SPY),6m,Zero-cost collar (90 put / 115 call),-9.3,-9.3,-9.3,-4.3,+0.7,+5.7,+10.7,+15.6,+15.6,+15.6,+3.5,38%
US equity (SPY),6m,Put-spread collar (95/85 / 110 call),-19.3,-9.3,-4.3,-4.3,+0.7,+5.7,+10.4,+10.4,+10.4,+10.4,+3.1,38%
US equity (SPY),6m,"Covered call (sell 105 call, credit 3.0)",-26.4,-16.4,-6.4,-1.4,+3.6,+8.6,+8.6,+8.6,+8.6,+8.6,+3.1,28%
US equity (SPY),6m,"Buffered (10% buffer, cap +5%)",-20.0,-10.0,+0.0,+0.0,+0.0,+4.9,+4.9,+4.9,+4.9,+4.9,+1.9,12%
US equity (SPY),6m,"Synthetic PPN (bills + LEAP, 38% participation)",+0.0,+0.0,+0.0,+0.0,+0.0,+1.9,+3.8,+5.7,+7.5,+11.3,+2.4,0%
US equity (SPY),6m,"Bills + reverse iron butterfly (30% part., ±10%)",+3.0,+3.0,+3.0,+1.5,+0.0,+1.5,+3.0,+3.0,+3.0,+3.0,+2.0,0%
China (MCHI/FXI),12m,Hold the index,-27.5,-17.5,-7.5,-2.5,+2.5,+7.5,+12.5,+17.5,+22.5,+32.5,+8.1,44%
China (MCHI/FXI),12m,Bills (cash),+4.0,+4.0,+4.0,+4.0,+4.0,+4.0,+4.0,+4.0,+4.0,+4.0,+4.0,0%
China (MCHI/FXI),12m,50% index / 50% bills,-11.8,-6.8,-1.8,+0.8,+3.2,+5.8,+8.2,+10.8,+13.2,+18.2,+6.1,38%
China (MCHI/FXI),12m,"Protective put (buy 95 put, cost 7.7)",-10.2,-10.2,-10.2,-10.2,-5.2,-0.2,+4.8,+9.8,+14.8,+24.8,+7.1,55%
China (MCHI/FXI),12m,Zero-cost collar (90 put / 117 call),-7.5,-7.5,-7.5,-2.5,+2.5,+7.5,+12.5,+17.5,+19.8,+19.8,+5.5,44%
China (MCHI/FXI),12m,Put-spread collar (95/85 / 127 call),-17.5,-7.5,-2.5,-2.5,+2.5,+7.5,+12.5,+17.5,+22.5,+29.2,+6.5,44%
China (MCHI/FXI),12m,"Covered call (sell 105 call, credit 9.4)",-18.1,-8.1,+1.9,+6.9,+11.9,+16.9,+16.9,+16.9,+16.9,+16.9,+5.5,30%
China (MCHI/FXI),12m,"Buffered (10% buffer, cap +23%)",-20.0,-10.0,+0.0,+0.0,+0.0,+5.0,+10.0,+15.0,+20.0,+22.7,+3.8,33%
China (MCHI/FXI),12m,"Synthetic PPN (bills + LEAP, 33% participation)",+0.0,+0.0,+0.0,+0.0,+0.0,+1.7,+3.3,+5.0,+6.7,+10.0,+4.8,0%
China (MCHI/FXI),12m,"Bills + reverse iron butterfly (47% part., ±10%)",+4.7,+4.7,+4.7,+2.3,+0.0,+2.3,+4.7,+4.7,+4.7,+4.7,+4.0,0%
China (MCHI/FXI),6m,Hold the index,-28.8,-18.8,-8.8,-3.8,+1.2,+6.2,+11.3,+16.2,+21.2,+31.2,+4.0,46%
China (MCHI/FXI),6m,Bills (cash),+2.0,+2.0,+2.0,+2.0,+2.0,+2.0,+2.0,+2.0,+2.0,+2.0,+2.0,0%
China (MCHI/FXI),6m,50% index / 50% bills,-13.4,-8.4,-3.4,-0.9,+1.6,+4.1,+6.6,+9.1,+11.6,+16.6,+3.0,42%
China (MCHI/FXI),6m,"Protective put (buy 95 put, cost 5.1)",-8.8,-8.8,-8.8,-8.8,-3.8,+1.2,+6.2,+11.2,+16.2,+26.2,+3.5,56%
